hour,day,speed,free_speed,speed_ratio,is_weekend,is_rush_hour,is_night,congestion
10,4,84.9,100,0.8490000000000001,0,0,0,0
23,4,54.7,60,0.9116666666666667,0,0,1,0
7,2,27.7,50,0.5539999999999999,0,1,0,1
3,3,49.6,60,0.8266666666666667,0,0,1,0
19,5,42.9,60,0.715,0,1,0,1
5,2,58.8,60,0.98,0,0,1,0
9,6,60.5,80,0.75625,1,1,0,0
0,6,12.1,80,0.15125,1,0,1,2
20,2,23.2,60,0.38666666666666666,0,0,0,2
12,1,31.8,60,0.53,0,0,0,1
15,7,35.2,80,0.44000000000000006,1,0,0,2
5,3,59.2,60,0.9866666666666667,0,0,1,0
9,3,7.2,50,0.14400000000000002,0,1,0,2
18,5,38.7,60,0.645,0,1,0,1
1,4,43.7,50,0.8740000000000001,0,0,1,0
21,6,76.3,80,0.95375,1,0,0,0
11,5,18.6,30,0.62,0,0,0,1
14,7,52.3,80,0.6537499999999999,1,0,0,1
18,7,41.9,50,0.838,1,1,0,0
1,2,58.6,60,0.9766666666666667,0,0,1,0
19,1,14.1,60,0.235,0,1,0,2
22,2,39.4,80,0.4925,0,0,1,1
23,1,51.9,60,0.865,0,0,1,0
1,6,54.5,60,0.9083333333333333,1,0,1,0
15,3,23.5,30,0.7833333333333333,0,0,0,0
10,6,55.4,60,0.9233333333333333,1,0,0,0
2,3,18.3,60,0.305,0,0,1,2
18,3,44.1,80,0.55125,0,1,0,1
21,5,50.3,60,0.8383333333333333,0,0,0,0
13,2,41.5,50,0.83,0,0,0,0
14,1,29.7,60,0.495,0,0,0,1
15,5,3.9,30,0.13,0,0,0,2
2,5,98.1,100,0.981,0,0,1,0
13,2,52.7,80,0.6587500000000001,0,0,0,1
13,3,35.5,50,0.71,0,0,0,1
13,3,51.7,60,0.8616666666666667,0,0,0,0
2,3,42.2,50,0.8440000000000001,0,0,1,0
9,7,49.9,60,0.8316666666666667,1,1,0,0
11,1,51.8,80,0.6475,0,0,0,1
2,1,53.1,60,0.885,0,0,1,0
1,7,62.6,80,0.7825,1,0,1,0
8,5,17.6,60,0.29333333333333333,0,1,0,2
23,3,80.9,100,0.809,0,0,1,0
21,5,39.5,50,0.79,0,0,0,0
10,6,48.7,50,0.9740000000000001,1,0,0,0
22,3,59.7,60,0.995,0,0,1,0
5,2,27.1,60,0.4516666666666667,0,0,1,1
21,1,41.3,60,0.6883333333333332,0,0,0,1
1,7,57.6,60,0.9600000000000001,1,0,1,0
4,6,50.8,100,0.508,1,0,1,1
19,1,21.7,60,0.36166666666666664,0,1,0,2
5,5,32.6,60,0.5433333333333333,0,0,1,1
2,1,53.2,60,0.8866666666666667,0,0,1,0
9,4,6.5,50,0.13,0,1,0,2
4,1,69.4,80,0.8675,0,0,1,0
22,3,41.5,60,0.6916666666666667,0,0,1,1
11,2,36.1,50,0.722,0,0,0,1
11,3,18.5,30,0.6166666666666667,0,0,0,1
7,3,39.8,80,0.49749999999999994,0,1,0,1
20,5,48.1,80,0.6012500000000001,0,0,0,1
3,1,76.3,80,0.95375,0,0,1,0
6,6,70.8,80,0.885,1,0,0,0
14,1,11.5,50,0.23,0,0,0,2
13,5,48.4,100,0.484,0,0,0,1
5,3,47.1,60,0.785,0,0,1,0
14,7,42.6,60,0.7100000000000001,1,0,0,1
3,5,40.6,50,0.812,0,0,1,0
22,1,28.2,30,0.94,0,0,1,0
9,1,11.4,50,0.228,0,1,0,2
12,4,29.6,60,0.49333333333333335,0,0,0,1
14,4,50.9,80,0.63625,0,0,0,1
18,4,33.0,60,0.55,0,1,0,1
10,6,56.6,100,0.5660000000000001,1,0,0,1
14,2,89.7,100,0.897,0,0,0,0
17,1,15.1,50,0.302,0,1,0,2
11,4,45.7,100,0.457,0,0,0,1
9,1,14.7,60,0.245,0,1,0,2
13,1,48.3,100,0.483,0,0,0,1
20,2,78.4,80,0.9800000000000001,0,0,0,0
21,7,42.2,50,0.8440000000000001,1,0,0,0
20,1,31.3,50,0.626,0,0,0,1
2,7,43.1,60,0.7183333333333334,1,0,1,1
6,2,18.0,60,0.3,0,0,0,2
11,3,43.7,50,0.8740000000000001,0,0,0,0
5,5,89.5,100,0.895,0,0,1,0
21,2,15.0,30,0.5,0,0,0,1
19,1,6.5,50,0.13,0,1,0,2
7,1,28.3,50,0.5660000000000001,0,1,0,1
18,3,46.9,80,0.5862499999999999,0,1,0,1
16,5,37.2,60,0.62,0,0,0,1
0,6,70.7,80,0.88375,1,0,1,0
16,2,28.8,60,0.48000000000000004,0,0,0,1
7,5,5.8,30,0.19333333333333333,0,1,0,2
18,6,26.0,60,0.43333333333333335,1,1,0,2
17,7,48.3,60,0.8049999999999999,1,1,0,0
23,7,46.6,60,0.7766666666666667,1,0,1,0
14,5,26.0,50,0.52,0,0,0,1
1,3,48.2,50,0.9640000000000001,0,0,1,0
10,4,85.2,100,0.852,0,0,0,0
22,2,24.1,30,0.8033333333333333,0,0,1,0
18,5,27.1,80,0.33875,0,1,0,2
0,7,57.4,60,0.9566666666666667,1,0,1,0
2,7,16.5,30,0.55,1,0,1,1
8,2,58.6,80,0.7325,0,1,0,1
11,1,56.8,80,0.71,0,0,0,1
16,2,26.6,30,0.8866666666666667,0,0,0,0
12,1,47.9,50,0.958,0,0,0,0
3,2,49.1,60,0.8183333333333334,0,0,1,0
10,6,89.4,100,0.894,1,0,0,0
5,2,57.4,60,0.9566666666666667,0,0,1,0
22,5,29.3,30,0.9766666666666667,0,0,1,0
5,3,55.0,60,0.9166666666666666,0,0,1,0
6,2,84.6,100,0.846,0,0,0,0
13,2,23.7,50,0.474,0,0,0,1
3,3,41.1,50,0.8220000000000001,0,0,1,0
3,1,79.0,80,0.9875,0,0,1,0
22,7,87.1,100,0.871,1,0,1,0
3,7,38.1,50,0.762,1,0,1,0
12,3,28.9,60,0.48166666666666663,0,0,0,1
8,1,18.2,60,0.30333333333333334,0,1,0,2
6,3,52.1,80,0.65125,0,0,0,1
5,2,47.6,50,0.9520000000000001,0,0,1,0
16,5,48.1,80,0.6012500000000001,0,0,0,1
11,6,31.7,100,0.317,1,0,0,2
16,7,58.7,80,0.73375,1,0,0,1
17,1,7.1,60,0.11833333333333333,0,1,0,2
14,2,17.3,60,0.28833333333333333,0,0,0,2
21,2,56.0,60,0.9333333333333333,0,0,0,0
18,2,21.2,60,0.35333333333333333,0,1,0,2
19,7,38.2,60,0.6366666666666667,1,1,0,1
13,7,35.4,60,0.59,1,0,0,1
2,5,51.1,60,0.8516666666666667,0,0,1,0
6,7,73.2,80,0.915,1,0,0,0
12,2,42.3,60,0.705,0,0,0,1
1,7,6.0,60,0.1,1,0,1,2
12,5,7.4,60,0.12333333333333334,0,0,0,2
13,4,22.8,30,0.76,0,0,0,0
11,1,51.0,60,0.85,0,0,0,0
6,4,62.2,80,0.7775000000000001,0,0,0,0
13,6,24.0,80,0.3,1,0,0,2
15,1,77.7,100,0.777,0,0,0,0
23,4,33.9,50,0.6779999999999999,0,0,1,1
10,4,25.3,60,0.4216666666666667,0,0,0,2
10,6,59.9,60,0.9983333333333333,1,0,0,0
7,4,55.3,80,0.6912499999999999,0,1,0,1
13,2,22.8,30,0.76,0,0,0,0
2,6,64.3,80,0.80375,1,0,1,0
8,3,11.3,60,0.18833333333333335,0,1,0,2
2,2,24.3,60,0.405,0,0,1,2
2,6,27.6,60,0.46,1,0,1,1
3,6,67.8,80,0.8474999999999999,1,0,1,0
8,3,37.5,100,0.375,0,1,0,2
7,1,51.1,60,0.8516666666666667,0,1,0,0
14,6,13.4,50,0.268,1,0,0,2
5,5,38.5,50,0.77,0,0,1,0
16,2,53.9,60,0.8983333333333333,0,0,0,0
2,2,39.8,60,0.6633333333333333,0,0,1,1
23,3,63.1,80,0.7887500000000001,0,0,1,0
15,1,59.0,60,0.9833333333333333,0,0,0,0
3,7,58.2,60,0.9700000000000001,1,0,1,0
12,2,6.1,60,0.10166666666666666,0,0,0,2
10,5,76.4,80,0.9550000000000001,0,0,0,0
13,5,49.3,60,0.8216666666666667,0,0,0,0
13,3,52.5,100,0.525,0,0,0,1
23,5,75.2,80,0.9400000000000001,0,0,1,0
9,1,63.3,100,0.633,0,1,0,1
4,5,75.4,80,0.9425000000000001,0,0,1,0
3,3,46.4,50,0.9279999999999999,0,0,1,0
21,1,28.9,30,0.9633333333333333,0,0,0,0
13,7,14.4,100,0.14400000000000002,1,0,0,2
11,7,6.8,30,0.22666666666666666,1,0,0,2
18,3,11.6,60,0.19333333333333333,0,1,0,2
3,1,30.1,50,0.602,0,0,1,1
10,4,41.3,80,0.51625,0,0,0,1
10,3,8.9,80,0.11125,0,0,0,2
20,7,33.9,60,0.565,1,0,0,1
4,3,55.9,60,0.9316666666666666,0,0,1,0
1,5,32.9,50,0.6579999999999999,0,0,1,1
17,7,29.8,60,0.4966666666666667,1,1,0,1
16,5,55.6,80,0.6950000000000001,0,0,0,1
19,7,45.5,60,0.7583333333333333,1,1,0,0
2,4,62.3,80,0.7787499999999999,0,0,1,0
16,6,30.5,60,0.5083333333333333,1,0,0,1
21,6,51.5,60,0.8583333333333333,1,0,0,0
12,1,25.4,30,0.8466666666666666,0,0,0,0
13,7,55.4,60,0.9233333333333333,1,0,0,0
0,4,69.6,80,0.8699999999999999,0,0,1,0
23,1,7.4,50,0.14800000000000002,0,0,1,2
15,6,17.4,60,0.29,1,0,0,2
17,4,12.0,30,0.4,0,1,0,2
0,5,23.5,30,0.7833333333333333,0,0,1,0
6,2,30.5,60,0.5083333333333333,0,0,0,1
22,4,46.3,50,0.9259999999999999,0,0,1,0
5,1,88.5,100,0.885,0,0,1,0
17,4,29.8,80,0.3725,0,1,0,2
14,3,36.6,60,0.61,0,0,0,1
5,2,60.8,80,0.76,0,0,1,0
9,6,24.4,30,0.8133333333333332,1,1,0,0
12,1,79.5,80,0.99375,0,0,0,0
3,5,45.7,50,0.914,0,0,1,0
18,4,10.7,60,0.17833333333333332,0,1,0,2
23,1,51.0,60,0.85,0,0,1,0
21,7,25.0,50,0.5,1,0,0,1
20,7,18.8,60,0.31333333333333335,1,0,0,2
11,6,96.7,100,0.9670000000000001,1,0,0,0
8,4,18.8,30,0.6266666666666667,0,1,0,1
14,2,59.0,80,0.7375,0,0,0,1
21,5,31.7,50,0.634,0,0,0,1
14,1,35.7,50,0.7140000000000001,0,0,0,1
22,2,8.1,50,0.162,0,0,1,2
4,6,58.1,60,0.9683333333333334,1,0,1,0
14,6,37.3,60,0.6216666666666666,1,0,0,1
5,1,31.5,60,0.525,0,0,1,1
4,5,47.0,60,0.7833333333333333,0,0,1,0
12,7,46.1,60,0.7683333333333333,1,0,0,0
13,2,29.5,60,0.49166666666666664,0,0,0,1
4,4,31.4,60,0.5233333333333333,0,0,1,1
21,4,33.2,60,0.5533333333333333,0,0,0,1
11,5,46.4,80,0.58,0,0,0,1
14,7,27.6,60,0.46,1,0,0,1
13,2,38.1,50,0.762,0,0,0,0
0,7,38.6,50,0.772,1,0,1,0
0,1,51.0,60,0.85,0,0,1,0
17,3,9.5,30,0.31666666666666665,0,1,0,2
6,7,41.8,50,0.836,1,0,0,0
5,4,39.3,50,0.7859999999999999,0,0,1,0
17,2,40.4,80,0.505,0,1,0,1
22,5,30.1,60,0.5016666666666667,0,0,1,1
1,1,51.9,80,0.6487499999999999,0,0,1,1
17,2,17.6,60,0.29333333333333333,0,1,0,2
11,3,64.6,100,0.6459999999999999,0,0,0,1
18,7,38.3,60,0.6383333333333333,1,1,0,1
1,2,58.0,60,0.9666666666666667,0,0,1,0
15,5,53.1,80,0.6637500000000001,0,0,0,1
3,2,55.0,60,0.9166666666666666,0,0,1,0
5,2,68.7,80,0.85875,0,0,1,0
10,1,37.6,50,0.752,0,0,0,0
14,1,55.4,60,0.9233333333333333,0,0,0,0
0,1,45.2,60,0.7533333333333334,0,0,1,0
10,3,33.5,50,0.67,0,0,0,1
8,3,23.3,60,0.38833333333333336,0,1,0,2
20,5,51.0,60,0.85,0,0,0,0
4,7,56.5,60,0.9416666666666667,1,0,1,0
5,6,8.5,80,0.10625,1,0,1,2
22,3,29.2,30,0.9733333333333333,0,0,1,0
3,3,52.2,60,0.87,0,0,1,0
18,2,13.9,50,0.278,0,1,0,2
13,3,61.8,100,0.618,0,0,0,1
9,4,58.7,80,0.73375,0,1,0,1
10,7,52.9,60,0.8816666666666666,1,0,0,0
6,7,40.7,50,0.8140000000000001,1,0,0,0
3,4,53.3,60,0.8883333333333333,0,0,1,0
23,5,37.5,60,0.625,0,0,1,1
21,5,64.2,80,0.8025,0,0,0,0
9,2,21.7,60,0.36166666666666664,0,1,0,2
16,2,46.6,50,0.932,0,0,0,0
3,4,56.5,60,0.9416666666666667,0,0,1,0
9,1,31.1,60,0.5183333333333333,0,1,0,1
11,2,30.1,60,0.5016666666666667,0,0,0,1
4,7,45.5,50,0.91,1,0,1,0
8,6,47.1,60,0.785,1,1,0,0
2,7,51.4,60,0.8566666666666667,1,0,1,0
6,1,8.6,60,0.14333333333333334,0,0,0,2
18,4,15.5,80,0.19375,0,1,0,2
13,4,5.0,30,0.16666666666666666,0,0,0,2
7,1,23.5,50,0.47,0,1,0,1
16,4,15.5,30,0.5166666666666667,0,0,0,1
20,6,31.0,60,0.5166666666666667,1,0,0,1
2,6,19.5,60,0.325,1,0,1,2
16,3,61.2,80,0.765,0,0,0,0
11,2,92.3,100,0.9229999999999999,0,0,0,0
22,2,28.2,30,0.94,0,0,1,0
16,4,84.6,100,0.846,0,0,0,0
22,4,93.4,100,0.934,0,0,1,0
23,4,38.7,50,0.774,0,0,1,0
21,2,24.6,80,0.3075,0,0,0,2
11,6,39.0,50,0.78,1,0,0,0
22,2,50.2,60,0.8366666666666667,0,0,1,0
8,1,34.8,60,0.58,0,1,0,1
3,2,35.6,60,0.5933333333333334,0,0,1,1
21,4,78.6,80,0.9824999999999999,0,0,0,0
9,6,77.6,80,0.97,1,1,0,0
13,6,47.7,50,0.9540000000000001,1,0,0,0
14,5,24.2,30,0.8066666666666666,0,0,0,0
13,4,17.7,60,0.295,0,0,0,2
21,1,90.2,100,0.902,0,0,0,0
21,6,42.5,50,0.85,1,0,0,0
12,5,29.8,50,0.596,0,0,0,1
14,4,14.6,30,0.48666666666666664,0,0,0,1
12,7,28.8,60,0.48000000000000004,1,0,0,1
5,5,25.2,30,0.84,0,0,1,0
18,5,9.6,80,0.12,0,1,0,2
10,2,22.1,30,0.7366666666666667,0,0,0,1
18,1,26.9,50,0.5379999999999999,0,1,0,1
18,7,52.6,60,0.8766666666666667,1,1,0,0
6,1,39.7,50,0.794,0,0,0,0
3,4,75.8,80,0.9475,0,0,1,0
2,7,47.7,60,0.795,1,0,1,0
21,5,26.1,30,0.87,0,0,0,0
21,6,24.5,50,0.49,1,0,0,1
6,5,40.5,50,0.81,0,0,0,0
20,5,21.3,80,0.26625,0,0,0,2
2,1,57.7,60,0.9616666666666667,0,0,1,0
22,5,49.9,60,0.8316666666666667,0,0,1,0
17,3,15.4,60,0.25666666666666665,0,1,0,2
20,2,29.4,80,0.3675,0,0,0,2
8,1,11.2,60,0.18666666666666665,0,1,0,2
9,2,7.7,30,0.25666666666666665,0,1,0,2
10,7,19.0,60,0.31666666666666665,1,0,0,2
14,1,14.8,30,0.49333333333333335,0,0,0,1
11,1,45.6,60,0.76,0,0,0,0
22,3,46.6,60,0.7766666666666667,0,0,1,0
16,5,51.9,60,0.865,0,0,0,0
3,3,67.7,100,0.677,0,0,1,1
18,3,22.9,60,0.38166666666666665,0,1,0,2
7,2,29.8,30,0.9933333333333334,0,1,0,0
7,1,10.4,100,0.10400000000000001,0,1,0,2
3,6,49.5,50,0.99,1,0,1,0
22,6,62.5,80,0.78125,1,0,1,0
7,2,21.3,60,0.35500000000000004,0,1,0,2
1,3,27.0,30,0.9,0,0,1,0
8,1,13.9,60,0.23166666666666666,0,1,0,2
17,6,16.5,50,0.33,1,1,0,2
18,6,9.8,30,0.3266666666666667,1,1,0,2
22,7,14.9,80,0.18625,1,0,1,2
12,6,20.9,60,0.34833333333333333,1,0,0,2
6,7,53.2,60,0.8866666666666667,1,0,0,0
10,1,79.1,100,0.7909999999999999,0,0,0,0
20,7,8.0,30,0.26666666666666666,1,0,0,2
22,4,71.8,80,0.8975,0,0,1,0
23,3,46.1,50,0.922,0,0,1,0
6,4,29.8,60,0.4966666666666667,0,0,0,1
9,2,19.8,30,0.66,0,1,0,1
0,4,28.5,30,0.95,0,0,1,0
10,1,37.7,60,0.6283333333333334,0,0,0,1
1,1,52.9,60,0.8816666666666666,0,0,1,0
9,2,8.3,80,0.10375000000000001,0,1,0,2
1,5,47.2,60,0.7866666666666667,0,0,1,0
22,6,18.0,80,0.225,1,0,1,2
3,4,62.8,80,0.7849999999999999,0,0,1,0
5,5,22.7,30,0.7566666666666666,0,0,1,0
13,4,42.5,50,0.85,0,0,0,0
6,4,28.8,60,0.48000000000000004,0,0,0,1
22,4,55.1,60,0.9183333333333333,0,0,1,0
17,3,13.5,50,0.27,0,1,0,2
13,3,28.4,30,0.9466666666666667,0,0,0,0
5,5,68.8,80,0.86,0,0,1,0
3,6,46.3,60,0.7716666666666666,1,0,1,0
19,1,26.4,60,0.44,0,1,0,2
21,5,29.7,50,0.594,0,0,0,1
14,3,21.2,60,0.35333333333333333,0,0,0,2
6,1,89.1,100,0.8909999999999999,0,0,0,0
9,2,15.0,50,0.3,0,1,0,2
21,5,22.0,60,0.36666666666666664,0,0,0,2
18,2,44.7,80,0.5587500000000001,0,1,0,1
4,4,69.7,80,0.8712500000000001,0,0,1,0
5,2,26.2,30,0.8733333333333333,0,0,1,0
0,1,24.2,30,0.8066666666666666,0,0,1,0
11,4,15.6,60,0.26,0,0,0,2
20,6,38.0,50,0.76,1,0,0,0
6,3,36.6,50,0.732,0,0,0,1
15,6,11.5,60,0.19166666666666668,1,0,0,2
8,5,72.4,80,0.905,0,1,0,0
10,1,56.6,60,0.9433333333333334,0,0,0,0
5,7,30.5,50,0.61,1,0,1,1
23,7,76.6,80,0.9574999999999999,1,0,1,0
23,6,15.0,80,0.1875,1,0,1,2
2,7,43.3,50,0.866,1,0,1,0
20,4,47.3,60,0.7883333333333333,0,0,0,0
3,7,30.6,50,0.612,1,0,1,1
16,5,44.3,50,0.8859999999999999,0,0,0,0
6,6,48.4,60,0.8066666666666666,1,0,0,0
1,1,55.0,60,0.9166666666666666,0,0,1,0
1,2,54.8,60,0.9133333333333333,0,0,1,0
21,4,28.5,30,0.95,0,0,0,0
9,3,5.1,30,0.16999999999999998,0,1,0,2
6,5,47.0,50,0.94,0,0,0,0
21,7,35.3,50,0.706,1,0,0,1
13,3,66.8,100,0.6679999999999999,0,0,0,1
16,7,50.2,60,0.8366666666666667,1,0,0,0
11,1,33.5,60,0.5583333333333333,0,0,0,1
22,1,51.6,60,0.86,0,0,1,0
10,4,56.9,60,0.9483333333333334,0,0,0,0
3,5,50.9,60,0.8483333333333333,0,0,1,0
15,6,55.4,60,0.9233333333333333,1,0,0,0
11,2,24.5,60,0.4083333333333333,0,0,0,2
17,3,50.9,100,0.509,0,1,0,1
7,5,16.5,80,0.20625,0,1,0,2
5,6,20.5,30,0.6833333333333333,1,0,1,1
13,7,73.5,100,0.735,1,0,0,1
20,6,58.2,60,0.9700000000000001,1,0,0,0
22,3,45.4,60,0.7566666666666666,0,0,1,0
19,2,21.5,50,0.43,0,1,0,2
8,4,67.0,100,0.67,0,1,0,1
10,2,67.2,80,0.8400000000000001,0,0,0,0
1,6,63.5,80,0.79375,1,0,1,0
20,4,64.8,80,0.8099999999999999,0,0,0,0
19,2,21.3,60,0.35500000000000004,0,1,0,2
22,6,55.6,80,0.6950000000000001,1,0,1,1
2,1,41.6,50,0.8320000000000001,0,0,1,0
7,4,38.4,60,0.64,0,1,0,1
0,7,46.2,50,0.924,1,0,1,0
14,6,56.4,60,0.94,1,0,0,0
20,6,14.3,80,0.17875000000000002,1,0,0,2
8,3,9.6,30,0.32,0,1,0,2
5,3,25.4,30,0.8466666666666666,0,0,1,0
13,6,24.4,50,0.488,1,0,0,1
18,6,36.4,80,0.45499999999999996,1,1,0,1
7,6,96.5,100,0.965,1,1,0,0
18,6,37.4,100,0.374,1,1,0,2
19,5,20.4,100,0.204,0,1,0,2
22,1,24.1,50,0.48200000000000004,0,0,1,1
5,5,48.6,60,0.81,0,0,1,0
0,4,49.5,60,0.825,0,0,1,0
13,6,58.2,60,0.9700000000000001,1,0,0,0
1,1,59.8,60,0.9966666666666666,0,0,1,0
22,5,68.6,80,0.8574999999999999,0,0,1,0
10,6,37.5,80,0.46875,1,0,0,1
19,5,28.6,60,0.4766666666666667,0,1,0,1
8,4,79.1,80,0.9887499999999999,0,1,0,0
7,5,58.7,60,0.9783333333333334,0,1,0,0
13,7,24.9,50,0.498,1,0,0,1
21,5,39.2,60,0.6533333333333334,0,0,0,1
3,7,50.8,60,0.8466666666666666,1,0,1,0
12,3,18.3,60,0.305,0,0,0,2
22,1,46.1,60,0.7683333333333333,0,0,1,0
17,1,12.3,30,0.41000000000000003,0,1,0,2
18,4,15.6,60,0.26,0,1,0,2
2,6,48.1,60,0.8016666666666666,1,0,1,0
12,5,24.1,30,0.8033333333333333,0,0,0,0
10,4,47.5,50,0.95,0,0,0,0
16,6,49.2,60,0.8200000000000001,1,0,0,0
23,5,44.1,50,0.882,0,0,1,0
6,7,74.0,80,0.925,1,0,0,0
18,3,28.2,50,0.564,0,1,0,1
11,3,20.6,60,0.3433333333333334,0,0,0,2
11,5,25.5,60,0.425,0,0,0,2
4,1,48.9,60,0.815,0,0,1,0
22,1,46.7,60,0.7783333333333334,0,0,1,0
0,7,53.9,60,0.8983333333333333,1,0,1,0
7,4,20.9,100,0.209,0,1,0,2
8,7,54.7,60,0.9116666666666667,1,1,0,0
18,3,8.8,60,0.14666666666666667,0,1,0,2
8,1,31.7,50,0.634,0,1,0,1
20,2,44.2,60,0.7366666666666667,0,0,0,1
1,1,51.7,60,0.8616666666666667,0,0,1,0
22,5,41.1,60,0.685,0,0,1,1
22,1,28.9,30,0.9633333333333333,0,0,1,0
